營業日期,商品編號,pc_name,會員編號,交易金額
20140724,0304030216,FANTASY膚色0.5吋透氣膠帶單入/2,600100003374,30
20140701,0203000021,仙楂丸100包入/買10送1(不拆零)/,601212000532,10
20140701,0202030115,Enpower愛爾蘭海藻鈣錠30`S/500B,600100002854,1592
20140701,0202030115,Enpower愛爾蘭海藻鈣錠30`S/500B,600100002854,0
20140724,0303040026,歐風驗孕筆1入/30B/5T,6001001394,143
20140724,0304090007,30㏄良碘(50支入),2010007770,40
20140723,0100010006,-Epilon 胃必朗錠/1000`S(永信),1030000689,0
20140726,0104010021,傷風友/60B/20T,1030011950,30
20140701,0304030201,旅行家防水繃小12入,1030007149,57
20140701,0304030202,旅行家防水繃大7入,1030007149,57
20140702,0202030106,健股液態葡萄糖胺專利新配方(液,1020012778,499
20140723,0305120643,易利氣 1300 磁力貼★/6B,0000015212,275
20140724,0101040020,速佑寶舒清腸溶軟膠囊20粒/12B,6001000800,114
20140701,0205000068,貝比斯特-營養牙餅南瓜50g,1050012288,69
20140726,0107070001,倍力素80z/24B(箱購4200元),6001001284,4080
20140710,0302030019,妙而舒頂級呵護紙尿褲(L)48P/4B(,1050012490,323
20140710,0302030019,妙而舒頂級呵護紙尿褲(L)48P/4B(,1050012490,323
20140701,0304030232,全新(生醫)人工皮(無框)5*20cm/2,0000005534,109
20140701,0302030139,金貝貝棉柔透氣紙尿褲L46+4/4B,1030002335,892
20140726,0100060038,-Amoxicillin500㎎/安莫西林膠囊,600100003038,0
20140723,0100010052,-Kascol(Gascon) 50mg/加斯克兒,1030000689,0
20140724,0100060038,-Amoxicillin500㎎/安莫西林膠囊,0000013664,0
20140725,0100060038,-Amoxicillin500㎎/安莫西林膠囊,1050000231,0
20140701,0104010028,友露安液60ml/60B,1030000116,170
20140725,0100010006,-Epilon 胃必朗錠/1000`S(永信),1050000231,0
20140711,0100010006,-Epilon 胃必朗錠/1000`S(永信),1030000352,0
20140713,0100010006,-Epilon 胃必朗錠/1000`S(永信),6001001939,0
20140709,0109040009,美姬乳膏15g/400B,600100002137,190
20140727,0100060038,-Amoxicillin500㎎/安莫西林膠囊,0000013437,0
20140727,0203000030,汎生治喉痛-25ml/12B,0000013437,200
20140702,0302030134,滿意寶寶瞬潔乾爽L50/4B(箱購價1,600910000222,385
20140702,0304030202,旅行家防水繃大7入,1030010892,114
20140711,0104020066,痛克寧Ibuprofen 600mg/10,1000019067,95
20140713,0304090007,30㏄良碘(50支入),4000017815,20
20140728,0100060074,-Corticord(Keacort)4mg /克痛可,600100003145,0
20140725,0304010035,3M不沾粘吸收棉墊2*2*5片/4B,600100003374,45
20140724,0306000063,黃鴨幼兒整體口腔牙刷,601300010394,41
20140701,0302130030,花點子100抽*8入190mm*180mm/9B/,1050016300,45
20140701,0307080004,檸檬酸(不能退),601212000532,65
20140724,0100050039,-甲基睪丸素錠單顆(methyltestos,1030001378,0
20140725,0305160260,日拋棄式軟性隱形眼鏡20片裝★,4000001428,175
20140701,0302130030,花點子100抽*8入190mm*180mm/9B/,1030000116,45
20140724,0202130010,美達適鋅寶力1`S,1030001378,0
20140701,0308020024,熊寶貝衣物柔軟精補充包/玫瑰甜,0000005534,98
20140724,0100040118,-Ibuprofen 400mg/伊普膜衣錠/1,2010007770,0
20140723,0100040118,-Ibuprofen 400mg/伊普膜衣錠/1,1030000689,0
20140723,0100040118,-Ibuprofen 400mg/伊普膜衣錠/1,1030000116,0
20140726,0100040118,-Ibuprofen 400mg/伊普膜衣錠/1,600100003038,0
20140723,0100040115,-Indomen(Inteban) 25㎎/克炎膠,1030000116,0
20140702,0202110039,美達適明晶膠囊60粒/盒/300B(限),1020012778,699
20140724,0100040118,-Ibuprofen 400mg/伊普膜衣錠/1,0000013664,0
20140727,0100040118,-Ibuprofen 400mg/伊普膜衣錠/1,0000013437,0
20140701,0200190124,亞培安素高鈣237ml(箱購1500元)/,1020014930,1500
20140726,0109140010,汝樂淨陰道錠6'S/460B/5T,600100003260,190
20140701,0202090108,讚納豆專利新配方(液態軟膠囊狀/,1050011494,-12000
20140701,0202090108,讚納豆專利新配方(液態軟膠囊狀/,1050011494,0
20140701,0304040096,好貼繃1.9*7.2cm 10入(不拆零)/1,600100003302,5
20140702,0304100004,CSD中衛酒精棉片100片/盒,1020012778,100
20140724,0200150111,桂格敏兒米精(胚芽配方)600g/12,600100003372,478
20140709,0300030576,優生玻璃寬口徑大奶瓶L200ml(1+1,6013001761,103
20140724,0304150004,南光生理食鹽水(共同栓)500,600100003374,35
20140726,0304150004,南光生理食鹽水(共同栓)500,600100003260,70
20140701,0302080142,包大人濕巾80抽/24B,600100003298,39
20140723,0200030170,桂格MUST幼兒多力新一代小朋友,6018001868,789
20140729,0300200041,黃鴨造型雙層沐浴海棉,1050010362,80
20140713,0202040138,美達適元氣綜合維生素B群 10`S/1,600100003341,200
20140723,0100150031,專業處方每日100元,1050012704,300
20140708,0100150031,專業處方每日100元,6001000968,300
20140728,0501000035,美的適50元折價卷,1030011950,-100
20140728,0103040016,愛克痰顆粒100mg小兒/200B(可做,1020018820,50
20140702,0302040134,金貝貝棉柔透氣紙尿褲XL40+4/4B,600100003306,223
20140723,0501000004,育兒補助卡折扣(40),600100002359,-40
20140708,0501000047,美的適_金公銀婆強健卡,1030003380,0
20140723,0100030126,-Cety(Cetirizine)10mg/協帝1000,1050012704,0
20140708,0100150167,-Voren 50㎎/非炎腸溶錠/100+1,6001000968,0
20140712,0100150031,專業處方每日100元,1060004262,700
20140712,0100150031,專業處方每日100元,1060004262,0
20140708,0501000017,廠商折價卷(30元),6001000085,-30
20140709,0304000103,CSD滅菌6吋普通中頭棉棒(10支/ ),2010005856,10
20140710,0304000103,CSD滅菌6吋普通中頭棉棒(10支/ ),6001000368,10
20140702,0304000106,CSD滅菌6吋沖洗棉棒(6支/包)/50,600100003307,60
20140702,0304000104,CSD滅菌6吋口腔棉棒(10支/包)/50,600100003307,25
20140702,0302080129,嬌生純水濕巾綿柔一般型90片/12,600100003305,29
20140724,0304040103,日華急救繃防水2.5*6.5cm 10入60,0000013602,48
20140701,0304150004,南光生理食鹽水(共同栓)500,600100003303,35
20140710,0600000243,樂活好禮-美白水感防曬噴霧效期,600100002423,0
20140711,0304100004,CSD中衛酒精棉片100片/盒,1030001321,50
20140724,0100180000,-Cinnarizine 25㎎/心慮清 /1000,2010007770,0
20140701,0109070003,美德疤痕凝膠50g/24+3,0000015212,1120
20140729,0301020131,黃鴨印花紗布手帕3入,1050010362,140
20140701,0202020044,美達適天然蔓越苺C咀嚼錠100`S/5,600100003301,99
20140729,0301020102,Kitty印花紗布手帕(3入)K7426,1050010362,160
20140724,0109150005,氧化鋅軟膏30g/24B,600100002210,190
20140723,0109150005,氧化鋅軟膏30g/24B,6005000962,160
20140724,0201050088,健碩寶A+SUPER綜合營養素38合1 1,600100002198,1800
20140724,0201050069,Q寶寶1號初乳藻精蛋白粉400g /30,600100002198,-1800
20140723,0304040104,日華急救繃防水4*6.5cm 6入/60B,601500002944,48
20140709,0304040104,日華急救繃防水4*6.5cm 6入/60B,2010005856,48
20140724,0406060062,銀鶴漢式爽身粉150g/1000+200B,600100002210,345
20140724,0406060062,銀鶴漢式爽身粉150g/1000+200B,600100002210,0
20140710,0600000243,樂活好禮-美白水感防曬噴霧效期,600100003330,0
20140724,0108120015,安捷-鼻解充血劑(噴鼻液)/24B,1020018820,120
20140702,0304010057,日昇滅菌不織布紗布塊4*4 3片/24,600100003307,35
20140702,0205000041,旺仔原味小饅頭60g*12盒,1020019103,29
20140708,0104010025,普拿疼加強錠10`S/40B,6001001290,116
20140723,0100060038,-Amoxicillin500㎎/安莫西林膠囊,1050012704,0
20140708,0100060038,-Amoxicillin500㎎/安莫西林膠囊,6001000968,0
20140723,0304030215,FANTASY膚色1吋透氣膠帶單入/12,601500002944,25
20140708,0304010056,日昇滅菌不織布紗布塊3*3 5片/24,6001000968,21
20140709,0304010056,日昇滅菌不織布紗布塊3*3 5片/24,6001000968,35
20140708,0205000063,貝比斯特-鮮乳牙餅★,6020001692,66
20140709,0100060038,-Amoxicillin500㎎/安莫西林膠囊,600100003329,0
20140712,0203000202,紫錐花多酚草本精油粉末15gm/20B,600100003334,257
20140728,0100060038,-Amoxicillin500㎎/安莫西林膠囊,1030000935,0
20140702,0305010067,福爾紅外線耳溫槍(IR-18/2年保)2,600100003307,1500
20140702,0304010056,日昇滅菌不織布紗布塊3*3 5片/24,600100003307,35
20140709,0304010008,2*2不織布紗布塊(10片/24B)(不,2010005856,10
20140710,0304030163,H&B透氣紙膠(小盒)白色1吋/12B,600100003177,27
20140710,0304010008,2*2不織布紗布塊(10片/24B)(不,6001000368,5
20140709,0304030030,3M白色通氣膠帶1吋(有台)/12B,2010005856,60
20140702,0304030022,3M嬰幼兒專用膠帶(一卷入)/3B,600100003307,59
20140709,0100020368,-Iejyhhao(Benzarone)100mg/醫痔,600100003329,0
20140710,0109040009,美姬乳膏15g/400B,0000013078,190
20140708,0304010021,3M舒適繃(5大片)無菌包/3B,6001000968,59
20140708,0109010059,【P】使皮安20g120B,6001000968,190
20140708,0300080082,培寶矽膠旋轉奶瓶刷,6001001823,112
20140726,0109120038,力強舒氣膏30g/12B(效期到2015.4,6018000064,143
20140723,0100050012,-Prednisolone 5㎎/普利朗錠 /10,1030000116,0
20140702,0603020071,贈品檔-百強大豆蛋白粉/盒,1020012778,0
20140701,0100040115,-Indomen(Inteban) 25㎎/克炎膠,1030000116,0
20140725,0103020087,紓咳顆粒15包/20+2B,1030002636,180
20140726,0603020080,贈品檔-力強杏仁核果粉400g,1030001790,0
20140701,0302130044,舒潔優質抽取式衛生紙100抽*8包/,600100003301,88
20140701,0302130044,舒潔優質抽取式衛生紙100抽*8包/,1030000116,176
20140711,0100040121,-Seladin(Naproxen)250㎎/省治痛,1030000352,0
20140712,0302000046,妙而舒頂級呵護紙尿褲(NB)42P/4B,2020002085,175
20140713,0302130044,舒潔優質抽取式衛生紙100抽*8包/,6001000294,356
20140724,0109120010,曼秀雷敦軟膏12g,2010007770,45
20140724,0100040287,-Antimigraine(Cafergot)/治偏頭,2010007770,0
20140726,0200020241,桂格MUST幼兒多力新一代成長奶 /,6001000483,849
20140710,0200020181,金力強寶貝幼兒成長1800g/罐/6B/,1050012490,1840
20140711,0100050041,-Decan(Dexamethasone)0.75㎎/特,1030000352,0
20140713,0200000142,S-26金幼兒樂先進配方1600g/6B/,6001001953,882
20140713,0200180274,力強新成人養生奶粉900g/12B,6001001939,480
20140724,0104090001,威而鋼(輝瑞)100g/1`S(30盒+8盒,1030001378,1400
20140722,0101000008,汎胃錠40mg/10顆,600100002446,114
20140701,0308020024,熊寶貝衣物柔軟精補充包/玫瑰甜,6015002109,49
20140701,0302130018,HELTHIN面紙盒5入/串/10串/箱/5,1030000116,39
20140727,0203020010,奇力DHA100`S/12B/3T,1030010485,9000
20140727,0203020010,奇力DHA100`S/12B/3T,1030010485,0
20140713,0308020024,熊寶貝衣物柔軟精補充包/玫瑰甜,600100003340,55
20140728,0306050195,醫療防塵口罩50入藍色/盒/40B,600100003068,143
20140713,0202130010,美達適鋅寶力1`S,1030000230,0
20140729,0306000275,日本EBISU-新幹線軟柄兒童牙刷,1050010362,59
20140713,0104090002,喜力昂(sildenafil 100mg 諾華),1030000230,1200
20140709,0200000123,雪印強小子new1號嬰兒奶粉/900g/,6009003676,3780
20140709,0200000123,雪印強小子new1號嬰兒奶粉/900g/,6009003676,0
20140710,0200000131,能恩1號嬰兒配方奶粉800g/6B/箱,1030001802,699
20140723,0100040118,-Ibuprofen 400mg/伊普膜衣錠/1,1050012704,0
20140708,0100040118,-Ibuprofen 400mg/伊普膜衣錠/1,6001000968,0
20140708,0200020234,-美強生優兒A+幼兒成長(領先配方,6001001290,992
20140723,0200000123,雪印強小子new1號嬰兒奶粉/900g/,600100002359,630
20140708,0200190127,力強新活力元素低鈉配方900g/12,1030003380,650
20140712,0100040118,-Ibuprofen 400mg/伊普膜衣錠/1,1060004262,0
20140709,0200020074,-美滿寶貝幼兒成長配方9,6020001692,-1680
20140709,0200020262,美滿寶貝新生代金配方幼兒成長奶,6020001692,1680
20140728,0200190081,桂格完膳營養素(香草)/24B,1030011950,2400
20140723,0100050012,-Prednisolone 5㎎/普利朗錠 /10,1050012704,0
20140702,0306050178,匠心醫用級三層醫用口罩5入/包(,1020019103,100
20140708,0100050012,-Prednisolone 5㎎/普利朗錠 /10,6001000968,0
20140708,0306050178,匠心醫用級三層醫用口罩5入/包(,6001000080,300
20140708,0306050178,匠心醫用級三層醫用口罩5入/包(,6001000080,0
20140723,0103020154,景德複方甘草合劑120ml/瓶/60B,1050012704,80
20140724,0109100112,護民酸痛藥布6片入/1000B/5,1030000168,75
20140708,0100040259,-Tonipin(Solaxin)250mg/痛彌平,6001000968,0
20140723,0103020068,成大感冒膠囊/360B,600100002210,95
20140708,0302020124,幫寶適特級綿柔M56片/4B,6020001692,430
20140714,0306040113,因特力淨新一代酵素牙膏125g★,1030010719,315
20140723,0305160022,日中三角巾,600100002695,29
20140702,0200000131,能恩1號嬰兒配方奶粉800g/6B/箱,602000002715,2097
20140724,0200190129,百強芝補好甘素900g/12B,1020018820,578
20140729,0104020066,痛克寧Ibuprofen 600mg/10,1050010362,300
20140729,0302030147,金好奇護膚乾爽紙尿褲PH5.5 L46+,1050010362,1432
20140713,0100060038,-Amoxicillin500㎎/安莫西林膠囊,600100003341,0
20140713,0100060038,-Amoxicillin500㎎/安莫西林膠囊,600100003344,0
20140728,0305220027,炫麗紅護肘S★,600100003381,333
20140710,0101010047,金十字胃腸藥95g/6B,0000005895,94
20140724,0101040008,樂下錠緩下劑48錠,6001000800,110
20140725,0202150046,長壽梅丸1斤/3B,600120000242,80
20140723,0404000272,康媚花泡沫沐浴精1000CC/6B,0000015212,210
20140724,0302030125,-幫寶適超薄L54/包/4B,6005000371,400
20140701,0304030020,3M克淋濕(特大)-5片/3B,1030007149,85
20140701,0108060024,舒視玻尿酸隱型眼鏡舒潤液0.5ml/,1030007149,190
20140710,0308000117,妙管家防?抗敏防洗衣精補充包180,2010001260,110
20140724,0100010178,-Ulta/胃爾達/2000`s,0000013664,0
20140701,0304030138,低敏防水膜7*5cm/3片/盒,1030007149,57
20140726,0110150038,渡邊龍風嗽散25g,1030001927,138
20140713,0100010178,-Ulta/胃爾達/2000`s,2010001155,0
20140702,0304010038,CSD滅菌紗布塊2*2(10片/包)/50B,600100003228,11
20140701,0304090011,100㏄良碘(30支入),0000014243,50
20140702,0202030115,Enpower愛爾蘭海藻鈣錠30`S/500B,1020012778,199
20140708,0302040140,活潑寶寶紙尿褲XL38+2P/5B(箱購,6001000085,476
20140723,0100030019,-Ambroxol(Mucosolvan)30㎎/安布,1050012704,0
20140723,0100030001,-Sotocon(Medicon)20㎎ 嗽多康錠,1050012704,0
20140709,0304000083,潔皙優質棉花棒200支粗 / 包/24,600100003329,12
20140709,0100150031,專業處方每日100元,600100003329,300
20140709,0100150007,-三黃錠(科達)/500`S,600100003329,0
20140709,0100150167,-Voren 50㎎/非炎腸溶錠/100+1,600100003329,0
20140728,0302060071,包大人全功能M號/20片/6B(彩包,1030009867,597
20140708,0304000103,CSD滅菌6吋普通中頭棉棒(10支/ ),6001000968,50
20140708,0304000103,CSD滅菌6吋普通中頭棉棒(10支/ ),6001000968,0
20140709,0100150094,-Broen-C/撲炎喜腸溶錠1000/1000,600100003329,0
20140702,0305280014,透氣手臂吊帶(S/M)★,6001000715,143
20140709,0501000004,育兒補助卡折扣(40),600500004224,-40
20140710,0304000011,大棉球,1050005261,16
20140708,0304020028,3M彈力繃-20片/3B,6001000080,37
20140709,0302040124,-幫寶適超薄XL46/包/4B,6005000544,400
20140723,0100010178,-Ulta/胃爾達/2000`s,1030000116,0
20140724,0100010178,-Ulta/胃爾達/2000`s,1050009075,0
20140726,0104010020,國安感冒液(小)60ml/60B,1030011950,16
20140703,0100060038,-Amoxicillin500㎎/安莫西林膠囊,6001000911,0
20140711,0109040004,四益乳膏+蘆薈12g/100+20B,600100003333,300
20140726,0104020066,痛克寧Ibuprofen 600mg/10,1030000324,95
20140701,0202030094,【DC】尊盟全素高濃縮葡萄糖胺 1,1030011595,1425
20140729,0406050061,曼秀雷敦親親寶貝型100ml,1050010362,199
20140710,0307050049,別蚊我驅蚊水感乳(全家)100ml★/,6001001510,300
20140725,0109080022,舒口炎5g/100B,6001001668,150
20140701,0109080017,適口樂口內膏6g(明德)/100+,600100003298,150
20140725,0109080016,Polilen克潰淨外用液10ml/120B,6001001668,200
20140701,0202090108,讚納豆專利新配方(液態軟膠囊狀/,1050011494,12000
20140701,0202090108,讚納豆專利新配方(液態軟膠囊狀/,1050011494,0
20140710,0600000243,樂活好禮-美白水感防曬噴霧效期,2000030925,0
20140726,0110060007,正揚胃散50㎎/24B,1030009536,95
20140727,0304030199,全新(生醫)人工皮(無框)  XL--8x,1030002597,295
20140727,0202030073,奇力嚼鈣錠 100`S/300B/12T,1030010485,6000
20140727,0202030073,奇力嚼鈣錠 100`S/300B/12T,1030010485,0
20140728,0100000003,-Hi-cavtamine/使您維樂1000`S,600100003145,0
20140711,0304030020,3M克淋濕(特大)-5片/3B,1050014202,170
20140713,0109000082,適膚淨乳膏15g/200B(限),1030001919,238
20140711,0109050006,允消膚快乳膏20gm/50B,6018000366,143
20140728,0204050008,美康膜衣錠60's/瓶/100B,6001001531,5400
20140728,0204050008,美康膜衣錠60's/瓶/100B,6001001531,0
20140710,0202090100,紅麴(紅麴200.納豆170.Q10-20)6T,2000005406,0
20140724,0202020044,美達適天然蔓越苺C咀嚼錠100`S/5,6005000371,199
20140701,0202020044,美達適天然蔓越苺C咀嚼錠100`S/5,0000014243,1188
20140701,0202020044,美達適天然蔓越苺C咀嚼錠100`S/5,0000014243,0
20140701,0202020044,美達適天然蔓越苺C咀嚼錠100`S/5,600100003302,99
20140702,0202090093,極品深海鮭魚油EPA、DHA60`S/300,1020012778,897
20140711,0307050055,別蚊我驅蚊噴霧(全家)100ml★/5+,1050014202,294
20140702,0304040108,旅行家PE透氣繃綜合(1.9*7cm*20,1030010892,-114
20140727,0202020044,美達適天然蔓越苺C咀嚼錠100`S/5,1030010485,597
20140711,0304040108,旅行家PE透氣繃綜合(1.9*7cm*20,1000019067,57
20140729,0307050063,小不叮驅蚊噴霧25ml小黑蚊(全),1050010362,120
20140712,0304000079,菲力家族棉花棒F600 600入/3B,1060004262,59
20140712,0200210078,Weet-bix澳洲全穀片Mini(野莓),600100003339,297
20140714,0202120009,美達適電解質4包入/2000B,1030001548,114
20140713,0100150031,專業處方每日100元,600100003341,500
20140727,0100030127,-Somin(Sumin)2mg/舒敏/1000S,0000013437,0
20140711,0302060072,包大人全功能L號16片/6B(彩包可,602000002715,1194
20140710,0100150041,-Fluronin(prozac)20mg/伏憂寧/1,2000005406,3000
20140710,0109160009,【P】阿桐伯足快好/30B★,6001001510,190
20140711,0302060037,安安大尺寸看護墊6片60*90/包/12,602000002715,83
20140702,0306010047,培寶一級棒齒間刷S/2B,600100003308,450
20140702,0306010047,培寶一級棒齒間刷S/2B,600100003308,0
20140724,0304000104,CSD滅菌6吋口腔棉棒(10支/包)/50,600100003374,25
20140710,0302040130,滿意寶寶瞬潔乾爽XL42/4B(箱購 1,600100002359,385
20140704,0307130328,牙線如意棒TP-50支/罐/120B,600110000014,0
20140725,0202040138,美達適元氣綜合維生素B群 10`S/1,6001001668,0
20140727,0303100099,指險套6入★,1030012291,94
20140728,0100150031,專業處方每日100元,6001001825,100
20140729,0103040016,愛克痰顆粒100mg小兒/200B(可做,2000020890,100
20140729,0103040016,愛克痰顆粒100mg小兒/200B(可做,2000020890,0
20140709,0104090001,威而鋼(輝瑞)100g/1`S(30盒+8盒,6001001282,1300
20140710,0109120048,祥好薄荷棒大12入,1050005261,55
20140727,0100050012,-Prednisolone 5㎎/普利朗錠 /10,0000013437,0
20140727,0103050004,司特寧膜衣錠10粒/150+60B,6001000874,143
20140710,0100040114,-Fucole Paran(Panadol) 500㎎/,1030000168,5
20140710,0406010099,嬌生嬰兒草本舒活沐浴精1000ml,2010001260,139
20140701,0306050178,匠心醫用級三層醫用口罩5入/包(,1030007149,100
20140723,0306000253,刷樂兒童旅行組/3B,0000015212,118
20140725,0103020068,成大感冒膠囊/360B,6001001668,200
20140710,0308020027,公道先生漂白水 2000CC / 6入,2010001260,35
20140701,0304040014,愛力寶長效型退熱貼片6片/24B,1030007149,143
20140727,0302010059,滿意寶寶瞬潔乾爽S75/4B(箱購價1,600100002359,385
20140710,0200000123,雪印強小子new1號嬰兒奶粉/900g/,600100002359,630
20140710,0103030030,亞涕糖漿(Actin井田)60ml/100B,1050008496,76
20140709,0109040026,康適研乳膏20gm/300B(3M),6001001999,190
20140711,0202030115,Enpower愛爾蘭海藻鈣錠30`S/500B,600120000002,0
20140709,0104020066,痛克寧Ibuprofen 600mg/10,600100003327,100
20140709,0104020066,痛克寧Ibuprofen 600mg/10,600100003327,400
20140709,0104020066,痛克寧Ibuprofen 600mg/10,600100003327,0
20140713,0304030197,全新(生醫)人工皮(無框)L--5x7cm,1030001304,104
20140703,0100060038,-Amoxicillin500㎎/安莫西林膠囊,600100003313,0
20140713,0304010008,2*2不織布紗布塊(10片/24B)(不,1030001304,5
20140714,0202030143,勇固力升級配方100`S/300B,600100003225,1450
20140703,0202030143,勇固力升級配方100`S/300B,1030000168,1500
20140710,0304030199,全新(生醫)人工皮(無框)  XL--8x,6001000368,104
20140711,0104090003,南光美好挻OK POWER( sildenafil,600100002885,1120
20140701,0306050178,匠心醫用級三層醫用口罩5入/包(,1030007149,0
20140701,0306050178,匠心醫用級三層醫用口罩5入/包(,600100003302,100
20140701,0306050178,匠心醫用級三層醫用口罩5入/包(,600100003302,0
20140701,0306050176,匠心醫用級四層活性碳口罩5入/ /,0000013171,600
20140701,0302130018,HELTHIN面紙盒5入/串/10串/箱/5,1030002665,39
20140701,0302130018,HELTHIN面紙盒5入/串/10串/箱/5,1050016300,78
20140710,0104090002,喜力昂(sildenafil 100mg 諾華),0000014118,600
20140728,0100040118,-Ibuprofen 400mg/伊普膜衣錠/1,6001001825,0
20140711,0202130010,美達適鋅寶力1`S,600100002885,0
20140728,0305110045,3M雙效冷熱敷墊/大塊敷1入/3B,600100003381,139
20140727,0306050178,匠心醫用級三層醫用口罩5入/包(,600100002557,125
20140727,0306050178,匠心醫用級三層醫用口罩5入/包(,600100002557,0
20140711,0100050012,-Prednisolone 5㎎/普利朗錠 /10,1030000352,0
20140708,0302000048,滿意寶寶極緻呵護新生兒36片/8B,6001001823,186
20140708,0200190207,妙糖康液態營養素單罐(箱購24入1,1030003380,775
20140708,0302010059,滿意寶寶瞬潔乾爽S75/4B(箱購價1,6020001692,-360
20140713,0200000138,美滿寶貝新生代嬰兒配方(藍)900g,1030000324,570
20140703,0306040133,高露潔全效專業抗敏感牙膏150g,1030000168,99
20140712,0306000350,高露潔牙刷/支/72B,0000013171,108
20140714,0202110038,美達適明晶膠囊10粒/盒/1000B(限,600100003346,285
20140712,0100040287,-Antimigraine(Cafergot)/治偏頭,1060004262,0
20140712,0306050178,匠心醫用級三層醫用口罩5入/包(,600100003334,150
20140712,0302130030,花點子100抽*8入190mm*180mm/9B/,0000013171,147
20140728,0306050176,匠心醫用級四層活性碳口罩5入/ /,600100002676,86
20140728,0306050178,匠心醫用級三層醫用口罩5入/包(,600100002676,72
20140712,0108000102,【P】EYE BETASO比達爽眼用軟膏3,600100003338,76
20140712,0304030019,3M舒適繃含藥型30小片/3B,600100003338,79
20140710,0109010059,【P】使皮安20g120B,600100003177,190
20140712,0104020066,痛克寧Ibuprofen 600mg/10,3010016766,190
20140710,0404020318,有機添加歐露兒頭皮活氧洗髮精露,0000013168,266
20140710,0400000082,力奇洗髮精2%/200ML(Ketoconazol,0000013168,323
20140710,0404020319,有機添加歐露兒頭皮活氧潔淨凝露,0000013168,266
20140710,0400000085,Aromase去屑止癢養髮精華液115m,0000013168,680
20140710,0106070016,-膚康fluconazole150mg單`s/盒(,0000013168,200
20140702,0202020044,美達適天然蔓越苺C咀嚼錠100`S/5,600100003308,2376
20140724,0307050045,香茅油550ml超值家庭號,1030011688,189
20140709,0109140010,汝樂淨陰道錠6'S/460B/5T,6001001850,190
20140708,0304100004,CSD中衛酒精棉片100片/盒,600900005342,50
20140708,0600000207,贈品檔-泡飲杯,1030003380,0
20140728,0202020067,活力送喜發泡錠16顆/盒/20B,1030010986,342
20140728,0304040107,旅行家PE透氣繃大片3*7cm23入/,6015001179,72
20140712,0100180000,-Cinnarizine 25㎎/心慮清 /1000,1060004262,0
20140709,0200010090,美滿寶貝較大嬰兒配方900g/12B,600500004224,570
20140728,0200010090,美滿寶貝較大嬰兒配方900g/12B,6001001142,570
20140702,0300240094,金好嚕學步車CA-19(粉，藍，綠)1,602000002715,0
20140702,0202020044,美達適天然蔓越苺C咀嚼錠100`S/5,1030001781,99
20140710,0109040009,美姬乳膏15g/400B,0000013168,190
20140710,0304090008,-200㏄良碘(30支入),1050005261,100
20140726,0109040026,康適研乳膏20gm/300B(3M),0000005497,190
